shelfmark_shea_style,file,px,MB,description,credit,license,commons_page
"Diez A fol. 70, S. 10",DiezAlbumsEnthronization.jpg,2541x1620,1.0,"Enthronization of a Mongol ruler. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 36.1 cm x 29.8 cm (right), 38.8 cm x 28.7 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 10 (right) and 5 (left). For only the left or only the right part of the illustration, see Image:DiezAlbumsEnt","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 258",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization.jpg
"Diez A fol. 70, S. 11",DiezAlbumsEnthronization2 a.jpg,2071x2788,1.4,"Enthronization of a Mongol ruler. Left part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 38.8 cm x 29.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 11. For the complete illustration, see Image:DiezAlbumsEnthronization2.jpg . Note : the source ( Dschingis Khan und seine Erben )","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 260",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization2_a.jpg
"Diez A fol. 70, S. 13",DiezAlbumsGhazanMausoleum.jpg,2202x2791,1.6,"Ghazan Khan's mausoleum and foundation. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours (and silver?) on paper. Original size: 36.2 cm x 29 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 13. ""Two turbaned figured are in discussion at the gateway to a religious complex, which Karin Rührdanz plausibly identifies as Ghazan Kha","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 267",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsGhazanMausoleum.jpg
"Diez A fol. 70, S. 18, no. 1",DiezAlbumsFestivalPreparations.jpg,1653x1684,0.7,"Preparations for a festival. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 25.8 cm x 25.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 18 no. 1. There seems to be some problem at the wooden door on the right.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 264",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsFestivalPreparations.jpg
"Diez A fol. 70, S. 18, no. 2",DiezAlbumsComplainingWoman.jpg,2537x1202,0.8,"A woman complaining to the ruler. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 11.8 cm x 25.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 18 no.2. This illustrates a story about Ghazan Khan. Because Ghazan had officials and military stay in the houses of the general population, an old man told","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 273",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsComplainingWoman.jpg
"Diez A fol. 70, S. 19, no. 2",DiezAlbumsPrisoners.jpg,2400x1204,0.7,"Mongol riders with prisoners. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 11.6 cm x 25.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 19 no. 2. The prisoners are presumably robbers and similar criminals.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 254",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsPrisoners.jpg
"Diez A fol. 70, S. 20",DiezAlbumsEnthronization3 a.jpg,1236x1571,0.5,"Enthronization of a Mongol ruler. Left part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 38.8 cm x 29.2 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 20. For the complete illustration, see Image:DiezAlbumsEnthronization3.jpg .","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 263",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization3_a.jpg
"Diez A fol. 70, S. 21",DiezAlbumsEnthronization2.jpg,4182x2788,2.9,"Enthronization of a Mongol ruler. Double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 35.6 cm x 28.7 cm (right), 38.8 cm x 29.2 cm (left). Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 21 (right) and 11 (left). For only the left or only the right part of the illustration, see Image:DiezAlbumsEn","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 260/261",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization2.jpg
"Diez A fol. 70, S. 21",DiezAlbumsEnthronization2 b.jpg,2217x2788,1.8,"Enthronization of a Mongol ruler. Right part of a double-page illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours on paper. Original size: 35.6 cm x 28.7 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 21. For the complete illustration, see Image:DiezAlbumsEnthronization2.jpg . Note : the source ( Dschingis Khan und seine Erben ","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 261",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsEnthronization2_b.jpg
"Diez A fol. 70, S. 22",DiezAlbumsCelebration.jpg,2080x2788,1.4,"A celebration of the court. Illustration of Rashid-ad-Din's Gami' at-tawarih. Tabriz (?), 1st quarter of 14th century. Water colours and gold on paper. Original size: 33.8 cm x 25.8 cm. Staatsbibliothek Berlin, Orientabteilung, Diez A fol. 70, p. 22. Note the casual atmosphere and the dog in the foreground.","Dschingis Khan und seine Erben (exhibition catalogue), München 2005, p. 257",Public domain,https://commons.wikimedia.org/wiki/File:DiezAlbumsCelebration.jpg
